KUNDENR;CVRNR;KUNDETYPE;REGION;BUTIKSNAVN;KUNDENAVN;ADRESSE;LAND;POSTNR;BYNAVN;TLFNR;EDINR;EMAIL
075019-0;73555914;9;0;LIVA STORMARK. APS NORD;VIVI BRO CHRISTENSEN;GALGEBJERGVEJ 24;DK;6000;KOLDING;75523510;5790000033164;VBG@LIVA-STORMARKED.DK
075020-8;14942092;9;0;LIVA STORMARK. APS SYD;MICHAEL BRO CHRISTENSEN;DOMHUSGADE 6-8;DK;6000;KOLDING;75523188;5790000047246;MBC@LIVA-STORMARKED.DK
047648-1;58191213;10;0;MAGASIN EDI;MAGASIN;KGS. NYTORV;DK;1095;KØBENHAVN K;33183294;5790000015009; 
072031-8;29324034;12;8;SPAR BÆLUM;SPAR APS V/ STEEN JENSEN;ØSTERGADE 8;DK;9574;BÆLUM;98337001;5790000003143;0720318@SPAR.DK
072054-0;21657441;12;8;SPAR  BOVRUP;FINN CHRISTIANSEN;BOVRUP STOREGADE 20;DK;6200;AABENRAA;74680109;5790000003150;0720540@SPAR.DK
072122-5;26312051;12;2;MIN KØBMAND TANDSLET;BITTEN MØLLER;MOMMARKSVEJ 268 TANDSLET;DK;6470;SYDALS;73307323;5790000003167;0721225@MINKOBMAND.DK
072105-0;27532438;12;2;MIN KØBMAND ODENSE SV;SENAD ZOLJ;HELIOSVÆNGET 10;DK;5250;ODENSE SV;66170626;5790000003174;0721050@MINKOBMAND.DK
072107-6;30009118;12;8;SPAR KERTEMINDE;SØREN LAUSTEN JØRGENSEN;LANGEGADE 14;DK;5300;KERTEMINDE;65321214;5790000003181;0721076@SPAR.DK
072067-2;17034707;12;2;MIN KØBMAND ANSAGER;KARL JØRN ZEEROW SØRENSEN;ØSTERGADE 2;DK;6823;ANSAGER;75297064;5790000003204;0720672@MINKOBMAND.DK
072052-4;26643104;12;8;SPAR HOPTRUP;LONE & MORTEN LANG;HOPTRUP HOVEDGADE 53 - HOPTRUP;DK;6100;HADERSLEV;74575204;5790000003211;0720524@SPAR.DK
072203-3;31858542;12;2;MIN KØBMAND SKAGEN;NICKLAS NAUBERT;ULRIK PLESNERSVEJ 58;DK;9990;SKAGEN;98442411;5790000003228;0722033@MINKOBMAND.DK
072197-7;10033764;12;8;SPAR KORNBLOMSTVEJ;SPAR APS;KORNBLOMSTVEJ 50;DK;9000;AALBORG;98183289;5790000003235;0721977@SPAR.DK
072119-1;21316342;12;8;SPAR TRANEKÆR;CONNIE & JAN SØRENSEN;VANDVÆRKSVEJ 19;DK;5953;TRANEKÆR;62551055;5790000003242;0721191@SPAR.DK
072198-5;31430356;12;8;SPAR VEJGAARD;SPAR A/S;DORAVEJ 1;DK;9000;AALBORG;98144522;5790000003259;0721985@SPAR.DK
072085-4;12426380;12;6;KWIK SPAR HAMPEN;KARL HENRIK BUNDGAARD;VIBORG HOVEDVEJ 19 HJØLLUND;DK;7362;HAMPEN;86869011;5790000003815;HJOLLUND@SPAR.DK
072185-2;10027535;12;8;SPAR HUMBLE;OLE MOGENSEN;HOVEDGADEN 24;DK;5932;HUMBLE;62571166;5790000003822;0721852@SPAR.DK
072116-7;17727206;12;2;MIN KØBMAND GUDME;SØREN SCHOU SØRENSEN;VESTERGADE 1;DK;5884;GUDME;62251522;5790000003839;0721167@MINKOBMAND.DK
072191-0;27854664;12;8;SPAR GØDVAD;BENNY MAUL;ARENDALSVEJ 29, GØDVAD;DK;8600;SILKEBORG;86814966;5790000003853;0721910@SPAR.DK
072190-2;28840004;12;8;SPAR VIRKLUND;WEST-MANN APS.;VIRKLUNDVEJ 3, VIRKLUND;DK;8600;SILKEBORG;86836311;5790000003877;0721902@SPAR.DK
072199-3;26538890;12;2;MIN KØBMAND AALBORG;KØBM.SELSK.NR.TRANDERSVEJ;NR.TRANDERSVEJ 99;DK;9000;AALBORG;98137796;5790000003884;0721993@MINKOBMAND.DK
072115-9;27575269;12;6;KWIK SPAR OURE;KIM´S HANDEL APS;LANDVEJEN 140;DK;5883;OURE;62281053;5790000003914;OURE@SPAR.DK
150048-7;67241215;12;0;SPAR DANMARK A/S 12 - 0;SPAR DANMARK A/S;KÆRUP INDUSTRIVEJ 12;DK;4100;RINGSTED;72331280;5790000004133;SPAR.OEKONOMI@SPAR.DK
012254-9;13029334;12;2;MIN KØBMAND TISVILDELEJE;KØBMANDSHJØRNET I/S;HOVEDGADEN 53;DK;3220;TISVILDELEJE;48707056;5790000005093;0122549@MINKOBMAND.DK
072184-5;31256976;12;8;SPAR NYBORG;SPAR NYBORG;FRISENGÅRDSVEJ 91;DK;5800;NYBORG;65310731;5790000005147;0721845@SPAR.DK
051822-5;31980534;12;2;MIN KØBMAND  RAMSING;HELLE MARGRETHE RASMUSSEN;KIRKE ALLE 2 - RAMSING;DK;7860;SPØTTRUP;97566022;5790000005697;0518225@MINKOBMAND.DK
050715-2;31983428;12;2;MIN KØBMAND MØGELTØNDER;JAN GLOOR;MØLLEVEJ 43, MØGELTØNDER;DK;6270;TØNDER;74738320;5790000005734;0507152@MINKOBMAND.DK
037768-9;25153375;12;2;MIN KØBMAND NYRUP;JESPER CHRISTENSEN;KLINTVEJ 5, NYRUP;DK;4500;NYKØBING SJ;59302020;5790000005789;0377689@MINKOBMAND.DK
072213-2;76294216;12;2;MIN KØBMAND NYMINDEGAB;ARNE JENSEN;VESTERHAVSVEJ 316 NYMINDEGAB;DK;6830;NØRRE NEBEL;75289227;5790000005796;0722132@MINKOBMAND.DK
051450-5;10029511;12;1;GO'ON VIBORG;SØREN GJØRTZ;FALKEVEJ 2;DK;8800;VIBORG;86624133;5790000006243;3FALKE@MAIL.DK
200310-1;10382408;12;2;MIN KØBMAND GODTHÅB;PREBEN CHRISTENSEN;RIDEMANDSMØLLEVEJ 14;DK;9230;SVENSTRUP J;98381217;5790000006274;2003101@MINKOBMAND.DK
051155-0;32098797;12;6;KWIK SPAR KARBY;KARBY KØBMAND  APS.;NÆSSUNDVEJ 470;DK;7960;KARBY;72133000;5790000006342;NASSUNDVEJ@SPAR.DK
051642-7;30719891;12;8;SPAR ODENSE NØ;SPAR SLÅENHAVEN V/DELTA KAHN;SLÅENHAVEN 8;DK;5240;ODENSE NØ;66102630;5790000006526;0516427@SPAR.DK
050524-8;12217005;12;8;SPAR VEJLE;FINN KRAGH;PEDERHOLMSALLE 21;DK;7100;VEJLE;75824340;5790000006588;0505248@SPAR.DK
051259-0;28317476;12;8;SPAR JEBJERG;KØBMANDEN JEBJERG A/S;VESTERGADE 21, JEBJERG;DK;7870;ROSLEV;97574376;5790000006649;0512590@SPAR.DK
041803-8;21812773;12;8;SPAR KORSØR;HELLE KARIN PETERSEN;FASANHAVEN 32;DK;4220;KORSØR;58371458;5790000006687;0418038@SPAR.DK
013716-6;14674896;12;2;MIN KØBMAND HERLEV;MEHMET SARAC;MØRKHØJVEJ 105;DK;2730;HERLEV;44414541;5790000006700;0137166@MINKOBMAND.DK
200102-2;14777598;12;2;MIN KØBMAND AGGER;LONE MARK;VESTERHAVSVEJ 14, AGGER;DK;7770;VESTERVIG;97941435;5790000006809;2001022@MINKOBMAND.DK
212835-3;26098300;12;2;MIN KØBMAND MOSBY;SPAR MOSEBY APS;BLEGGRAVSVEJ 34, MOSEBY;DK;9490;PANDRUP;98245036;5790000007219;2128353@MINKOBMAND.DK
200103-0;27228062;12;8;SPAR HUNE;SPAR HUNE A/S;RØNNEBÆRVEJ 2, HUNE;DK;9492;BLOKHUS;98209044;5790000007233;2001030@SPAR.DK
200101-4;28283121;12;4;EUROSPAR SALTUM;KK SALTUM R.ANDERSEN APS;TINGHØJGADE 11;DK;9493;SALTUM;98881840;5790000007240;2001014@SPAR.DK
201146-8;27215483;12;2;MIN KØBMAND SDR. FELDING;NICOLAJ FREDERIK MØLHAVE;BREDGADE 25;DK;7280;SØNDER FELDING;97198147;5790000007301;2011468@MINKOBMAND.DK
052070-0;30019393;12;2;MIN KØBMAND SEJERSLEV;ANNETTE KJÆR PEDERSEN;SEJERSVEJ 26, SEJERSLEV;DK;7900;NYKØBING M;97751005;5790000007431;0520700@MINKOBMAND.DK
200301-0;26368367;12;8;SPAR EGENSE;KURT CHRISTIANSEN;HYBENVEJ 2  -  EGENSE;DK;9280;STORVORDE;98311286;5790000011223;2003010@SPAR.DK
050313-6;17322370;12;8;SPAR THURØ;KIM BASLER CHRISTENSEN;BERGMANNSVEJ  112 THURØ;DK;5700;SVENDBORG;62205008;5790000011315;0503136@SPAR.DK
072201-7;28685564;12;8;SPAR TVERSTED;TVERSTED KØBMANDSGÅRD A/S;TANNISBUGTVEJ 38 TVERSTED;DK;9881;BINDSLEV;98931005;5790000011384;0722017@SPAR.DK
050529-7;67241215;12;4;EUROSPAR SNEJBJERG;SPAR DANMARK A/S;TOUSTRUPVEJ 2;DK;7400;HERNING;97161733;5790000011520;SNEJBJERG@SPAR.DK
050152-8;67241215;12;4;EUROSPAR KIBÆK;SPAR DANMARK A/S;SANDFELDPARKEN 16;DK;6933;KIBÆK;97191033;5790000011551;KIBAK@SPAR.DK
050210-4;26119154;12;1;GO'ON STENSTRUP;FLEMMING HANSEN;ASSENSVEJ 218;DK;5771;STENSTRUP;62262014;5790000011643;TANKEN@C.DK
050213-8;20935278;12;1;GO'ON KVÆRNDRUP;CLAUS SALLING;SVENDBORGVEJ 1;DK;5772;KVÆRNDRUP;62272227;5790000011742;GO.ON.BUTIKKEN@GMAIL.COM
012217-6;27142729;12;2;MIN KØBMAND RÅGELEJE;ATIF SHAFIQ;TUEHUSVEJ 1, RÅGELEJE;DK;3210;VEJBY;48715035;5790000011759;0122176@MINKOBMAND.DK
037852-1;32299733;12;2;MIN KØBMAND HOLMEGÅRD;WAHDAT MAHAQIQ;LANDEVEJEN 11;DK;4684;HOLMEGAARD;55561027;5790000011841;0378521@MINKOBMAND.DK
071786-8;27304737;12;6;KWIK SPAR FRIFELT;MARIT OG LAILA BRINKMANN;HEDEBOVEJ 2, FRIFELT;DK;6780;SKÆRBÆK;74757121;5790000011889;frifelt@spar.dk
071530-0;84425028;12;6;KWIK SPAR AUGUSTENBORG;RITA & LEIF HANSEN;STOREGADE 35;DK;6440;AUGUSTENBORG;74471567;5790000025169;augustenborg@spar.dk
037775-4;27402135;12;2;MIN KØBMAND SLAGELSE;KWIK SPAR I/S;PRIORGADE 17;DK;4200;SLAGELSE;58520906;5790000025428;0377754@MINKOBMAND.DK
071297-6;86092417;12;6;KWIK SPAR ULSTED;I. & P. GREGERSEN;JYLLANDSGADE 32 -  ULSTED;DK;9370;HALS;98254584;5790000025817;hals@spar.dk
041730-3;31830427;12;8;SPAR BORREVEJLE;MALENE LILLERIS KNUDSEN;HORNSHERREDVEJ 3;DK;4060;KIRKE SÅBY;46400140;5790000025831;0417303@SPAR.DK
076067-8;19649636;12;6;KWIK SPAR ESBJERG;RICHARD MULBERG;DARUMVEJ 70;DK;6700;ESBJERG;75121534;5790000025916;esbjerg.darumvej@spar.dk
071182-0;21456985;12;8;SPAR ALLESTED;MORTEN ESPERI;ØSTERGADE 46-48, ALLESTED;DK;5672;BROBY;62691140;5790000025923;0711820@SPAR.DK
076122-1;20598891;12;2;MIN KØBMAND LANGHOLT;HENRIK ALBRECHTSEN;HORSENSVEJ 22, LANGHOLT;DK;9310;VODSKOV;98256406;5790000025930;0761221@MINKOBMAND.DK
051426-5;21466999;12;8;SPAR LØNSTRUP;NEDERGAARD &AMTOFT-CHRISTENSEN;STRANDVEJEN 82 LØNSTRUP;DK;9800;HJØRRING;98960029;5790000026395;0514265@SPAR.DK
050920-8;27418503;12;8;SPAR ÅLBÆK;SPAR ÅLBÆK A/S;SKAGENSVEJ 29;DK;9982;ÅLBÆK;98488030;5790000026661;0509208@SPAR.DK
076059-5;13764735;12;2;MIN KØBMAND ULSTRUP;HERDIS OG PEDER MADSEN;HOVEDGADEN 24;DK;8860;ULSTRUP;86463023;5790000026814;0760595@MINKOBMAND.DK
202200-2;33893035;12;8;SPAR HADERUP;MALENE H. HANSEN;HERNINGVEJ 1;DK;7540;HADERUP;97452019;5790000026838;2022002@SPAR.DK
053286-1;26681723;12;8;SPAR GJERN;SPAR GJERN APS;ØSTERGADE 4;DK;8883;GJERN;86875005;5790000026883;0532861@SPAR.DK
